Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2022,11,14,99,3,59,H,0,39,80,14,47,7,16,25,28,27,9,13,4,18,23,58,4,14,9,14,10,19,12,16,3,1,13
2022,12,14,67,35,66,H,0,23,54,11,26,10,13,10,15,12,14,8,2,13,25,51,3,15,13,18,10,22,14,14,7,3,15
2022,13,14,77,36,67,H,0,26,55,10,21,15,20,11,20,14,15,9,6,9,24,54,9,27,10,13,9,20,11,19,8,2,17
2022,14,14,90,37,71,H,0,33,61,15,35,9,12,10,33,29,20,9,11,20,23,64,10,25,15,24,12,20,15,14,9,5,15
2022,15,14,85,38,78,H,0,25,54,10,22,25,31,10,23,10,15,11,7,18,25,57,11,28,17,21,11,23,14,15,8,3,21
2022,16,39,77,14,61,H,0,28,57,9,29,12,16,9,21,15,15,6,4,10,24,55,5,25,8,13,8,21,9,20,7,3,13
2022,17,14,78,40,68,H,1,23,57,6,25,26,33,8,40,11,15,9,3,14,25,72,10,33,8,10,7,31,11,13,6,4,24
2022,18,14,69,41,55,A,0,23,51,12,32,11,18,10,27,14,18,6,6,12,23,68,1,12,8,9,10,19,9,10,13,1,13
2022,19,14,85,42,74,A,0,31,64,14,35,9,13,13,27,23,13,8,4,14,29,58,9,23,7,11,5,21,17,13,7,1,14
2022,20,14,67,43,55,H,0,27,61,8,26,5,7,10,30,21,10,8,3,5,20,57,9,28,6,7,8,25,17,12,4,1,13
2022,21,44,97,14,90,H,1,30,65,13,30,24,30,13,25,20,15,6,5,13,35,74,10,34,10,13,13,25,17,20,8,6,22
2022,22,14,74,17,67,H,0,28,57,10,24,8,14,10,34,17,13,2,5,13,27,67,9,36,4,9,9,22,10,4,7,1,14
2022,23,12,69,14,66,H,0,25,64,10,25,9,12,15,26,12,10,5,1,16,23,54,9,29,11,16,8,26,14,10,8,4,10
2022,24,16,77,14,53,H,0,31,63,7,12,8,14,11,27,12,9,8,5,17,16,57,6,27,15,20,16,23,6,17,3,3,16
2022,25,15,78,14,75,A,0,28,57,12,25,10,12,6,29,12,12,4,1,17,28,62,9,26,10,17,9,25,14,9,4,4,13
2022,26,14,93,13,91,A,1,31,66,15,34,16,26,10,22,20,13,9,3,15,36,71,10,30,9,12,14,29,19,17,8,2,23
2022,27,1240,79,14,71,H,0,30,64,9,21,10,16,13,22,17,11,12,1,7,29,61,11,27,2,4,11,24,22,17,7,5,17
2022,31,14,77,10,68,A,0,25,60,8,28,19,29,10,32,13,14,6,6,15,26,70,8,29,8,14,14,29,14,16,4,4,18
2022,32,14,92,11,60,H,0,34,60,10,22,14,20,10,38,16,11,2,5,16,23,66,4,21,10,17,8,17,4,6,6,4,17
2022,33,14,89,13,82,H,1,30,69,10,30,19,24,8,38,15,12,7,9,20,28,69,8,24,18,28,8,30,7,12,8,1,18
2022,34,14,82,16,76,H,0,29,62,13,32,11,15,11,21,20,10,9,6,10,30,55,8,19,8,14,7,25,12,14,6,3,17
2022,35,17,70,14,64,H,0,25,62,6,27,14,20,10,35,12,12,8,3,14,25,69,6,23,8,16,14,31,17,12,7,7,19
2022,36,14,82,15,72,A,1,28,63,8,26,18,21,7,37,11,14,5,4,16,29,71,7,29,7,12,8,30,15,10,4,3,18
2022,37,14,76,12,69,H,0,25,59,9,28,17,23,13,24,11,7,4,8,17,24,59,5,18,16,23,14,25,13,9,5,1,16
2022,38,14,81,11,72,H,0,31,53,7,22,12,21,6,28,14,10,5,5,10,28,66,8,24,8,12,11,22,5,8,5,1,17
2022,2,12,79,3,43,H,0,28,60,6,20,17,21,12,30,16,9,15,4,12,14,50,9,24,6,7,6,22,9,21,3,1,17
2022,3,12,63,45,54,H,0,21,50,4,14,17,27,9,28,9,15,12,3,9,21,55,7,24,5,8,7,26,9,17,9,4,22
2022,4,46,63,12,54,H,0,23,54,7,24,10,13,8,14,16,8,11,4,7,22,47,9,21,1,2,10,26,13,24,4,1,16
2022,5,47,55,12,44,H,0,23,54,4,19,5,6,3,25,11,10,7,2,9,19,60,1,15,5,8,17,29,6,16,6,1,13
2022,6,12,83,3,54,H,0,35,56,4,12,9,11,5,24,14,11,14,6,12,20,52,10,23,4,6,6,15,14,18,4,0,8
2022,7,12,67,48,56,A,0,26,57,5,20,10,17,11,30,16,17,10,3,23,19,53,5,28,13,24,7,26,5,13,12,4,18
2022,8,49,69,12,58,H,0,23,47,5,20,18,24,3,27,14,16,10,3,11,21,62,5,18,11,15,14,24,15,17,6,0,19
2022,9,12,77,50,48,H,0,27,49,11,17,12,13,4,22,12,15,10,4,19,17,52,4,21,10,22,12,14,4,19,3,2,14
2022,10,12,62,51,51,A,0,20,54,8,19,14,21,11,22,13,8,13,4,15,17,42,7,16,10,16,7,27,7,19,6,7,16
2022,11,12,87,3,48,H,0,32,61,10,26,13,18,10,20,22,9,12,5,14,17,45,2,12,12,17,4,18,9,20,4,1,12
2022,12,52,64,12,55,H,0,20,53,9,27,15,24,10,27,13,6,7,8,9,20,55,8,19,7,13,11,24,12,12,3,1,15
2022,13,12,98,3,45,H,0,40,66,10,26,8,10,10,31,24,8,10,2,9,18,55,3,18,6,9,7,18,4,18,4,1,12
2022,17,12,57,13,50,H,0,20,44,2,10,15,27,9,28,8,11,5,1,15,16,49,5,18,13,18,8,21,9,12,6,2,21
2022,18,12,54,17,51,A,0,20,54,3,13,11,13,13,25,5,12,5,2,13,17,48,3,25,14,17,7,21,3,10,4,9,12
2022,19,15,88,12,49,H,0,26,42,16,27,20,24,3,27,20,9,5,1,12,20,52,4,16,5,8,6,16,12,9,3,1,18
2022,21,16,76,12,68,H,0,29,53,8,21,10,18,3,22,14,4,3,1,17,27,54,5,14,9,16,8,25,17,9,1,3,21
2022,22,12,66,10,59,H,0,25,56,7,16,9,14,15,25,9,10,4,2,7,22,51,9,29,6,10,7,19,11,8,4,2,17
2022,24,12,56,11,50,A,0,16,48,3,10,21,27,14,34,3,14,2,0,18,15,57,7,28,13,19,11,20,5,6,5,6,20
2022,25,1240,64,12,58,H,0,20,48,8,21,16,19,8,27,15,8,2,5,8,22,60,9,23,5,8,12,23,13,6,4,1,14
2022,27,12,73,15,69,H,0,26,51,6,16,15,21,8,25,15,11,7,1,18,22,54,10,27,15,18,10,21,11,10,4,0,19
2022,28,12,67,13,45,A,0,28,58,4,16,7,12,13,25,12,8,10,1,14,16,47,5,18,8,11,9,19,10,16,2,3,14
2022,29,12,59,16,56,H,0,18,47,3,15,20,25,11,24,10,8,3,1,12,23,49,7,25,3,6,4,20,9,9,4,4,20
2022,30,12,71,17,39,H,0,27,54,7,12,10,15,14,26,12,9,5,2,19,12,44,1,21,14,21,9,16,5,10,3,7,14
2022,33,12,54,1240,51,A,0,18,49,5,16,13,16,10,23,6,16,8,0,13,21,53,6,27,3,5,10,22,11,15,9,4,17
2022,6,53,60,1240,57,H,0,22,57,4,22,12,14,14,23,11,11,10,7,10,22,52,8,20,5,11,10,21,12,17,6,6,12
2022,7,1240,70,54,47,H,0,20,52,13,29,17,20,10,34,16,14,6,2,14,18,60,5,22,6,9,10,22,6,12,7,0,18
2022,8,55,69,1240,65,H,3,23,68,5,27,18,29,13,40,11,22,9,7,22,22,68,5,23,16,26,10,40,9,20,14,2,28
2022,9,56,78,1240,70,N,0,26,58,8,22,18,22,6,28,12,6,9,4,18,23,57,10,27,14,20,9,29,7,14,4,4,20
2022,10,1240,72,57,64,N,0,25,50,8,17,14,19,7,26,8,13,10,4,12,25,57,9,24,5,6,6,19,11,12,5,1,15
2022,11,1240,93,58,81,A,0,28,46,17,24,20,30,7,28,19,17,10,2,14,29,67,15,38,8,10,12,15,14,11,7,0,24
2022,12,59,74,1240,64,A,0,27,52,3,13,17,19,8,26,8,16,7,3,16,23,56,9,25,9,13,9,18,13,15,4,1,19
2022,13,60,66,1240,52,H,0,24,52,4,19,14,17,6,23,10,13,13,4,15,20,47,5,18,7,16,10,23,12,23,8,0,20
2022,14,1240,110,3,80,H,0,44,78,11,26,11,18,18,28,25,11,9,2,11,28,63,14,32,10,15,9,19,18,18,6,1,15
2022,15,1240,66,39,59,H,0,20,54,4,20,22,25,13,25,9,10,5,3,12,21,57,10,33,7,7,11,23,15,14,4,5,19
2022,16,1104,65,1240,59,H,0,23,56,8,30,11,16,11,30,15,11,5,8,17,22,61,6,25,9,16,13,25,7,9,4,3,20
2022,17,1240,87,61,67,A,0,28,52,14,27,17,26,13,25,18,13,5,4,16,23,55,8,21,13,16,10,17,15,12,3,2,19
2022,18,1240,123,3,59,H,0,48,77,20,43,7,10,16,31,32,12,8,2,9,22,56,8,22,7,11,4,15,8,18,5,0,10
2022,21,1240,65,11,55,A,0,23,47,6,15,13,22,8,35,5,23,6,3,11,20,60,6,25,9,11,5,22,6,14,11,2,18
2022,22,1240,88,10,83,H,0,30,65,14,31,14,17,9,27,20,6,9,1,15,29,60,11,24,14,18,7,29,19,12,1,1,13
2022,27,1240,70,16,64,A,0,26,54,12,26,6,18,14,24,17,10,3,2,16,25,53,8,19,6,10,8,19,12,8,5,0,16
2022,28,1240,77,15,67,A,0,25,50,12,27,15,23,6,27,12,12,9,3,15,26,65,10,31,5,6,13,23,16,14,4,0,18
2022,29,17,88,1240,76,A,0,29,60,17,35,13,15,8,27,20,10,2,1,16,30,66,3,19,13,18,10,25,13,4,1,3,11
2022,31,13,63,1240,57,H,0,22,65,11,27,8,12,18,24,17,12,7,4,13,20,52,6,20,11,13,7,26,10,15,7,6,16
2022,33,1240,78,10,67,A,0,30,56,12,25,6,8,4,30,12,13,5,2,18,22,54,9,25,14,21,5,24,12,9,5,1,14
2022,36,1240,69,11,52,H,0,22,49,7,21,18,23,9,29,12,12,5,6,15,19,56,4,25,10,14,11,22,3,11,7,3,18
2022,37,1240,78,16,67,H,0,27,51,2,12,22,26,6,29,16,11,2,3,13,24,60,14,33,5,9,9,19,12,10,4,1,19
2022,2,1235,84,16,73,H,0,27,51,8,25,22,33,6,23,16,22,14,1,31,20,46,7,20,26,36,7,24,6,24,11,1,26
2022,3,1166,51,16,44,H,0,20,52,1,19,10,18,9,37,8,14,6,2,11,17,65,3,19,7,10,13,27,7,10,4,1,19
2022,4,16,81,3,57,H,0,32,67,9,30,8,12,16,27,18,17,12,5,11,22,54,9,25,4,10,7,21,10,23,13,0,15
2022,5,16,117,3,58,H,0,48,77,9,24,12,19,20,28,25,11,13,3,13,19,60,7,22,13,14,12,15,9,22,6,3,18
2022,6,62,97,16,78,A,0,38,72,10,25,11,12,11,24,22,9,7,4,18,27,59,7,21,17,19,10,21,11,13,2,6,14
2022,7,63,92,16,61,H,0,32,57,10,25,18,24,9,33,19,15,9,5,16,23,61,7,23,8,15,8,18,12,13,8,3,21
2022,8,16,89,48,52,H,0,32,58,10,21,15,24,7,39,22,13,9,2,17,19,63,4,27,10,20,12,23,11,16,7,2,17
2022,9,43,73,16,71,A,0,25,49,8,19,15,19,6,22,12,11,6,2,17,27,63,7,26,10,13,16,19,12,11,6,2,15
2022,10,64,88,16,62,H,0,26,50,10,25,26,29,10,16,12,9,11,1,17,22,45,9,19,9,13,6,14,9,16,6,1,25
2022,11,16,80,3,56,H,0,28,65,9,28,15,18,19,32,21,20,10,5,15,23,58,6,17,4,9,6,19,6,19,11,4,19
2022,12,65,85,16,84,H,0,36,57,11,18,2,9,9,17,16,11,5,3,21,30,53,9,21,15,22,9,18,16,9,7,1,14
2022,13,66,88,16,74,H,0,30,57,15,29,13,21,3,28,20,17,10,5,21,26,63,7,26,15,19,11,31,8,21,7,0,21
2022,14,16,108,3,51,H,0,37,59,15,28,19,30,8,35,30,13,15,4,12,19,63,6,17,7,10,10,20,7,21,7,0,20
2022,18,16,77,13,49,A,0,28,54,8,20,13,13,7,27,21,12,9,1,17,15,45,9,23,10,14,5,19,11,18,6,2,16
2022,19,16,62,17,60,A,0,23,62,5,17,11,20,18,23,9,12,15,7,22,17,60,10,37,16,25,23,28,11,19,9,7,21
2022,21,10,77,16,73,H,0,25,49,10,25,17,22,8,30,18,18,5,2,14,26,69,12,34,9,13,15,18,10,11,6,1,13
2022,24,11,71,16,58,A,0,28,63,8,20,7,10,10,25,9,9,3,0,14,22,55,3,12,11,21,12,26,11,12,4,10,11
2022,25,15,65,16,50,A,0,25,47,10,21,5,10,4,29,15,13,5,2,14,21,55,4,23,4,8,6,21,8,8,6,2,11
2022,29,17,74,16,72,A,0,24,54,9,23,17,24,6,23,14,7,5,4,20,26,72,4,22,16,24,21,25,11,8,4,3,19
2022,32,16,75,13,71,H,0,27,53,7,17,14,24,14,26,16,12,4,4,10,26,60,12,25,7,11,9,19,15,6,6,5,18
2022,33,15,100,16,93,H,1,28,56,7,21,37,44,8,30,8,12,5,2,20,28,61,15,28,22,30,6,25,16,12,7,2,31
2022,2,15,85,3,24,H,0,33,58,12,30,7,13,8,36,24,6,7,3,10,11,53,0,15,2,5,8,21,3,13,3,1,13
2022,3,1261,74,15,58,H,0,27,59,8,22,12,14,8,26,13,14,16,6,18,19,50,8,26,12,17,9,26,10,21,6,1,14
2022,4,67,54,15,50,N,0,15,54,8,24,16,26,15,28,6,11,1,4,15,20,57,4,20,6,14,9,25,7,5,2,2,21
2022,5,68,76,15,60,N,0,30,53,6,12,10,10,5,21,14,11,9,3,12,22,51,5,20,11,14,9,16,9,15,6,1,11
2022,6,15,59,69,51,N,0,21,46,12,33,5,5,5,22,12,16,9,0,15,19,46,6,17,7,12,8,21,2,15,9,2,9
2022,7,15,73,70,61,H,0,25,51,8,24,15,18,6,29,11,11,8,2,9,23,55,10,25,5,8,4,21,11,11,9,1,15
2022,8,15,66,71,45,H,0,24,50,11,27,7,14,7,22,13,12,10,2,15,14,49,3,19,14,17,14,22,6,19,8,1,17
2022,9,15,96,72,60,H,0,29,55,21,38,17,19,10,32,22,9,5,6,17,19,58,10,21,12,18,11,16,9,8,4,3,14
2022,10,73,63,15,51,H,0,20,51,8,15,15,24,12,28,12,14,7,2,11,19,59,8,36,5,6,13,23,9,12,6,3,21
2022,11,15,95,3,36,H,0,37,59,11,27,10,16,10,34,19,11,10,1,11,12,47,3,23,9,13,3,14,5,16,5,3,11
2022,12,15,74,74,64,A,0,28,61,9,27,9,13,8,28,16,11,8,3,15,22,58,5,19,15,17,9,27,13,15,6,4,18
2022,13,15,76,75,74,A,0,28,52,15,31,5,11,3,22,16,11,3,1,16,26,53,6,22,16,21,5,26,9,10,5,3,12
2022,14,76,79,15,76,N,0,25,44,12,20,17,27,6,33,14,23,3,3,25,23,56,10,26,20,28,3,19,9,10,6,2,22
